"","x"
"people",50
"will",43
"know",42
"want",38
"trump",37
"just",35
"going",31
"like",31
"think",30
"one",26
"great",24
"president",23
"many",22
"time",22
"applause",21
"liberty",21
"said",21
"thank",20
"country",19
"donald",19
"say",19
"thats",19
"dont",18
"father",18
"believe",17
"god",17
"now",17
"can",15
"heart",15
"nation",15
"america",14
"today",14
"come",13
"get",13
"hillary",13
"pray",13
"religious",13
"life",12
"need",12
"questions",12
"first",11
"jesus",11
"lot",11
"right",11
"things",11
"election",10
"every",10
"hes",10
"ive",10
"last",10
"next",10
"states",10
"talk",10
"youre",10
"clinton",9
"even",9
"faith",9
"friend",9
"hear",9
"israel",9
"man",9
"question",9
"room",9
"united",9
"well",9
"ask",8
"came",8
"church",8
"coming",8
"community",8
"family",8
"freedom",8
"gave",8
"gonna",8
"justices",8
"look",8
"number",8
"respect",8
"three",8
"american",7
"back",7
"candidate",7
"christ",7
"fact",7
"good",7
"issues",7
"love",7
"saw",7
"see",7
"seen",7
"stand",7
"sure",7
"theres",7
"understand",7
"way",7
"world",7
"years",7
"answer",6
"cant",6
"day",6
"different",6
"five",6
"give",6
"happy",6
"make",6
"prayer",6
"praying",6
"probably",6
"rights",6
"saying",6
"tell",6
"theyre",6
"together",6
"university",6
"week",6
"whats",6
"willing",6
"administration",5
"appreciate",5
"become",5
"coach",5
"committed",5
"court",5
"history",5
"honor",5
"important",5
"issue",5
"leaders",5
"may",5
"mentioned",5
"military",5
"morning",5
"obama",5
"person",5
"place",5
"political",5
"public",5
"put",5
"ran",5
"real",5
"relationship",5
"sit",5
"someone",5
"something",5
"special",5
"supreme",5
"told",5
"women",5
"year",5
"yet",5
"youve",5
"able",4
"agree",4
"allow",4
"already",4
"also",4
"appoint",4
"around",4
"away",4
"became",4
"ben",4
"bible",4
"bless",4
"business",4
"carson",4
"constitution",4
"days",4
"decided",4
"didnt",4
"evangelicals",4
"everybody",4
"fathers",4
"franklin",4
"gentlemen",4
"glory",4
"greatest",4
"group",4
"help",4
"incredible",4
"introduce",4
"keep",4
"ladies",4
"lead",4
"lets",4
"made",4
"means",4
"meeting",4
"mind",4
"moment",4
"name",4
"new",4
"personally",4
"please",4
"process",4
"reagan",4
"really",4
"republican",4
"spent",4
"spiritual",4
"stop",4
"success",4
"take",4
"theyve",4
"thought",4
"two",4
"voting",4
"wonderful",4
"worship",4
"across",3
"amendment",3
"another",3
"anything",3
"asking",3
"body",3
"building",3
"call",3
"children",3
"christians",3
"christmas",3
"depends",3
"doesnt",3
"early",3
"elected",3
"end",3
"endorse",3
"evangelical",3
"event",3
"ever",3
"everyone",3
"exactly",3
"face",3
"finally",3
"four",3
"given",3
"gods",3
"gone",3
"got",3
"graham",3
"hard",3
"highly",3
"including",3
"jerry",3
"kingdom",3
"laughter",3
"lord",3
"makes",3
"media",3
"men",3
"merry",3
"months",3
"much",3
"open",3
"opportunity",3
"opposite",3
"peace",3
"perfect",3
"point",3
"policies",3
"politician",3
"polls",3
"power",3
"promises",3
"ready",3
"reason",3
"represent",3
"ronald",3
"rules",3
"sail",3
"seminal",3
"shes",3
"ship",3
"short",3
"side",3
"somebody",3
"sometimes",3
"started",3
"sunday",3
"support",3
"supporting",3
"theological",3
"thing",3
"thousands",3
"times",3
"trouble",3
"truth",3
"try",3
"universities",3
"unto",3
"upon",3
"use",3
"veteran",3
"wants",3
"war",3
"welcome",3
"weve",3
"whether",3
"whole",3
"win",3
"won",3
"work",3
"wrote",3
"33year",2
"abraham",2
"ago",2
"air",2
